901,GANGWAY,17,1126266,1920698,41.938737066,-87.811357147,"(41.938737066, -87.811357147)",206
903,AUTO,73,1166617,1843896,41.727214643,-87.665251999,"(41.727214643, -87.665251999)",207
904,AUTO,75,1170041,1829022,41.686324472,-87.653139767,"(41.686324472, -87.653139767)",208
906,GAS STATION DRIVE/PROP.,31,1160971,1886808,41.845089351,-87.684748426,"(41.845089351, -87.684748426)",209
908,AUTO,49,1179836,1833221,41.697629301,-87.617154427,"(41.697629301, -87.617154427)",210
909,ALLEY,31,1167330,1891093,41.856713627,-87.661288671,"(41.856713627, -87.661288671)",211
910,YARD,73,1173025,1840313,41.71724351,-87.641884038,"(41.71724351, -87.641884038)",212
912,AUTO,43,1197623,1853354,41.752451636,-87.551359586,"(41.752451636, -87.551359586)",213
913,STREET,67,1167648,1866582,41.789446069,-87.660825652,"(41.789446069, -87.660825652)",214
915,STREET,14,1148792,1934094,41.975090483,-87.72821991,"(41.975090483, -87.72821991)",215
916,AUTO,14,1154484,1932670,41.971070708,-87.707326679,"(41.971070708, -87.707326679)",216
917,AUTO,22,1154739,1918445,41.932031238,-87.706771417,"(41.932031238, -87.706771417)",217
918,STREET,29,1149596,1893501,41.863683918,-87.726319911,"(41.863683918, -87.726319911)",218
919,STREET,43,1189942,1858016,41.765432686,-87.579356945,"(41.765432686, -87.579356945)",219
920,STREET,66,1156437,1863812,41.782078079,-87.7020077,"(41.782078079, -87.7020077)",220
921,APARTMENT,68,1172651,1860911,41.773775349,-87.642648291,"(41.773775349, -87.642648291)",221
922,STREET,67,1164292,1856082,41.760704042,-87.673426505,"(41.760704042, -87.673426505)",222
923,STREET,43,1189141,1856839,41.762222128,-87.58233048,"(41.762222128, -87.58233048)",223
924,RETAIL STORE,68,1175946,1866969,41.790325892,-87.630388022,"(41.790325892, -87.630388022)",224
925,PARKING LOT,24,1163890,1909673,41.907771871,-87.673390867,"(41.907771871, -87.673390867)",225
926,PARKING LOT,24,1163453,1910041,41.908790904,-87.674985793,"(41.908790904, -87.674985793)",226
927,RAILROAD PROPERTY,68,1172946,1866804,41.789939897,-87.641393051,"(41.789939897, -87.641393051)",227
930,ALLEY,3,1166515,1931331,41.96714669,-87.663126062,"(41.96714669, -87.663126062)",228
932,ALLEY,8,1172395,1909929,41.90829054,-87.642140663,"(41.90829054, -87.642140663)",229
934,STREET,67,1167648,1866582,41.789446069,-87.660825652,"(41.789446069, -87.660825652)",230
936,GANGWAY,68,1175567,1867471,41.791711926,-87.631762686,"(41.791711926, -87.631762686)",231
938,AUTO,26,1150191,1896407,41.871646755,-87.724059969,"(41.871646755, -87.724059969)",232
939,AUTO,43,1189941,1858068,41.765575403,-87.57935894,"(41.765575403, -87.57935894)",233
941,TRUCK,8,1173054,1909938,41.908300639,-87.639719583,"(41.908300639, -87.639719583)",234
942,STREET,61,1166159,1872555,41.805868523,-87.666115359,"(41.805868523, -87.666115359)",235
943,STREET,46,1197885,1852344,41.749673585,-87.550433167,"(41.749673585, -87.550433167)",236
944,STREET,23,1154848,1906657,41.899681787,-87.706687376,"(41.899681787, -87.706687376)",237
945,APARTMENT,71,1166340,1853950,41.754810183,-87.665981086,"(41.754810183, -87.665981086)",238
946,AUTO,25,1143851,1901020,41.884426523,-87.747221224,"(41.884426523, -87.747221224)",239
947,STREET,27,1158480,1896767,41.872469148,-87.693617794,"(41.872469148, -87.693617794)",240
948,STREET,24,1158796,1910113,41.909085286,-87.692091435,"(41.909085286, -87.692091435)",241
949,RETAIL STORE,22,1150690,1914172,41.920385987,-87.721763013,"(41.920385987, -87.721763013)",242
950,APARTMENT,42,1184831,1864436,41.783171157,-87.597888885,"(41.783171157, -87.597888885)",243
